fname,label
a6728901.wav,Acoustic_guitar
b88322f6.wav,Acoustic_guitar
35039ae1.wav,Acoustic_guitar
236cbab1.wav,Acoustic_guitar
0356dec7.wav,Acoustic_guitar
bb1f5874.wav,Acoustic_guitar
34747922.wav,Acoustic_guitar
44fb3eeb.wav,Acoustic_guitar
367ad7b1.wav,Acoustic_guitar
160c92d7.wav,Acoustic_guitar
2016d256.wav,Acoustic_guitar
fc55d588.wav,Acoustic_guitar
c7846d27.wav,Acoustic_guitar
55822aae.wav,Acoustic_guitar
9923ddf8.wav,Acoustic_guitar
32dee61b.wav,Acoustic_guitar
fa4d4a92.wav,Acoustic_guitar
8da75280.wav,Acoustic_guitar
b2261238.wav,Acoustic_guitar
673defaf.wav,Acoustic_guitar
e6597186.wav,Double_bass
fcfafbc8.wav,Double_bass
444f9db5.wav,Double_bass
19893aa8.wav,Double_bass
f042282c.wav,Double_bass
95e1d0ae.wav,Double_bass
595c191d.wav,Double_bass
8073923c.wav,Double_bass
6efbaf90.wav,Double_bass
642ad7e4.wav,Double_bass
5eadbc6d.wav,Double_bass
1a7d3f2d.wav,Double_bass
13da16ae.wav,Double_bass
103f29e5.wav,Double_bass
da8ea649.wav,Double_bass
ca348cbb.wav,Double_bass
8ce2e863.wav,Double_bass
462b676f.wav,Double_bass
b428466c.wav,Double_bass
4fd883bb.wav,Double_bass
2ac8b94f.wav,Double_bass
c840804f.wav,Double_bass
f63f3703.wav,Double_bass
c0ddf010.wav,Double_bass
a0cbe92e.wav,Double_bass
4fb480bf.wav,Double_bass
9dd0141c.wav,Double_bass
deb87700.wav,Double_bass
e0ecd1a6.wav,Double_bass
0286fc27.wav,Double_bass
e2d993ec.wav,Cello
0091fc7f.wav,Cello
e55c5160.wav,Cello
a59b5a08.wav,Cello
88500b88.wav,Cello
743ae0f9.wav,Cello
9e3bc1b6.wav,Cello
3e2bddda.wav,Cello
d328db67.wav,Cello
7d896090.wav,Cello
4bff8f32.wav,Cello
5e5bca7a.wav,Cello
811bf309.wav,Cello
5689818f.wav,Cello
81d9f077.wav,Cello
00353774.wav,Cello
6a210ffa.wav,Cello
e97d9707.wav,Cello
238b16a5.wav,Cello
dc5be9d7.wav,Cello
f9653de8.wav,Cello
31dbc5c0.wav,Cello
cbc8d551.wav,Cello
195f544d.wav,Cello
22bea889.wav,Cello
ab8e8ae3.wav,Cello
e70c41d4.wav,Cello
125e6ccf.wav,Cello
2da9e12a.wav,Cello
34e4d187.wav,Cello
52e54bdd.wav,Bass_drum
6d21ad67.wav,Bass_drum
ca3f3698.wav,Bass_drum
aa9ae956.wav,Bass_drum
0ddb4bdf.wav,Bass_drum
921eee9d.wav,Bass_drum
c153f347.wav,Bass_drum
63e0ab2c.wav,Bass_drum
88780eac.wav,Bass_drum
bea51ca5.wav,Bass_drum
f26131d8.wav,Bass_drum
ce75b5ce.wav,Bass_drum
565f3ee2.wav,Bass_drum
ff11628d.wav,Bass_drum
cdfc8967.wav,Bass_drum
f8a99b37.wav,Bass_drum
809ea09e.wav,Bass_drum
03fc1f96.wav,Bass_drum
8b6a16de.wav,Bass_drum
7dda9dc2.wav,Bass_drum
3a9085ca.wav,Bass_drum
4ba2b70e.wav,Bass_drum
01c2f88b.wav,Bass_drum
ce3f3400.wav,Bass_drum
6a96272b.wav,Bass_drum
9adffd44.wav,Bass_drum
7d11b3b4.wav,Bass_drum
bab98261.wav,Bass_drum
c11bacda.wav,Bass_drum
9a4bfb69.wav,Bass_drum
18865530.wav,Flute
9f6eac9c.wav,Flute
07db7f16.wav,Flute
dc6676ff.wav,Flute
3eaddda8.wav,Flute
1b93aeba.wav,Flute
c683f28f.wav,Flute
55d52a69.wav,Flute
ca8653d2.wav,Flute
6b27a847.wav,Flute
4bcc8a77.wav,Flute
84f5b84b.wav,Flute
5d73ee6f.wav,Flute
5d040c3b.wav,Flute
6a037ddf.wav,Flute
35e97db3.wav,Flute
d14f5df1.wav,Flute
9f522cda.wav,Flute
fe76c972.wav,Flute
562d93f5.wav,Flute
fa32109e.wav,Flute
b4b2b68d.wav,Flute
af227d6f.wav,Flute
85d6a7d2.wav,Flute
3707da71.wav,Flute
61c914b1.wav,Flute
f5e20dce.wav,Flute
b0d9849d.wav,Flute
6ef82473.wav,Flute
8986cced.wav,Flute
a64a3740.wav,Clarinet
ad7ec8cb.wav,Clarinet
8ee44fb5.wav,Clarinet
7eb959ec.wav,Clarinet
e51e1770.wav,Clarinet
3f7e6da8.wav,Clarinet
3cbe9902.wav,Clarinet
9a722e53.wav,Clarinet
19105b8a.wav,Clarinet
1f81cc2b.wav,Clarinet
44c5094c.wav,Clarinet
5506629f.wav,Clarinet
ddf23920.wav,Clarinet
2e1cd085.wav,Clarinet
dc981a38.wav,Clarinet
a053797b.wav,Clarinet
f2310f0d.wav,Clarinet
ce65d6b5.wav,Clarinet
45de3233.wav,Clarinet
8916ffcd.wav,Clarinet
e43f7db2.wav,Clarinet
3c66098d.wav,Clarinet
ad42e493.wav,Clarinet
740e5bb7.wav,Clarinet
800b401e.wav,Clarinet
3c713bcf.wav,Clarinet
2fc00271.wav,Clarinet
b0c06255.wav,Clarinet
71c6451f.wav,Clarinet
5de123c3.wav,Clarinet
